id,date,email,vehicle_id,operation_type,is_booked
7568,2021-11-04,email1134@domain.it,2954,default,0
8682,2022-04-06,email7514@domain.com,4042,forced,0
299,2021-09-17,email11804@domain.uk,3024,forced,1
4975,2022-03-03,email25549@domain.it,4275,automatic,0
8564,2021-08-21,email2617@domain.com,5044,default,0
4272,2021-07-11,email2515@domain.com,2598,automatic,1
6085,2022-01-12,email11190@domain.it,2710,default,0
1721,2022-01-14,email5430@domain.it,4135,default,0
518,2022-06-16,email1425@domain.com,6110,default,0
6297,2021-12-05,email2620@domain.es,3920,default,0
7081,2022-05-04,email2835@domain.it,1447,default,0
998,2022-06-10,email10107@domain.es,6526,default,0
491,2021-08-20,email8077@domain.es,2767,default,0
3206,2022-01-09,email3592@domain.com,2151,default,0
2730,2021-10-12,email17251@domain.it,2448,default,0
5031,2021-09-29,email1062@domain.com,3168,automatic,0
6896,2022-01-06,email8364@domain.com,5366,default,1
1694,2022-04-08,email9818@domain.es,5511,default,0
3301,2021-08-19,email12928@domain.uk,1319,default,0
2272,2022-03-06,email3344@domain.com,6409,default,0
8358,2022-06-08,email1908@domain.it,7563,default,0
2393,2022-04-11,email8101@domain.com,2293,default,0
4701,2021-07-08,email6051@domain.com,4662,default,0
3113,2021-07-24,email19721@domain.com,1510,default,0
1847,2021-07-20,email3301@domain.it,4351,default,0
4689,2021-12-03,email2475@domain.uk,5094,default,0
7502,2021-10-27,email18488@domain.uk,5888,forced,0
3490,2022-03-07,email28854@domain.com,687,default,0
8718,2022-02-01,email19843@domain.uk,7026,automatic,0
9234,2021-12-28,email16023@domain.com,2581,default,0
7615,2022-03-17,email4335@domain.it,4270,default,0
2676,2022-05-17,email7231@domain.com,8232,automatic,0
9592,2022-02-06,email410@domain.it,5612,default,0
4557,2021-08-02,email10975@domain.it,6102,default,0
2408,2021-08-27,email4009@domain.com,2702,default,0
9170,2022-05-19,email1015@domain.it,973,automatic,0
1901,2021-09-16,email10853@domain.com,474,default,0
2497,2022-04-02,email17940@domain.com,388,automatic,0
8750,2021-10-16,email3395@domain.uk,4737,default,0
